기준월,년,월,콘텐츠구분,서비스 형태,프로그램 제목,프로그램 코드,매출,KBS저작권료,외부저작권료
2025-01-01,2025,1,KBS,VOD,트롯 전국체전 스페셜,T2020-0376,12124,10427,0
2025-01-01,2025,1,KBS,VOD,어서옵SHOW,T2016-0299,8095,6962,0
2025-01-01,2025,1,KBS,VOD,연예가 중계,T2000-0068,16458,14154,0
2025-01-01,2025,1,KBS,VOD,썸바이벌 1+1,T2019-0165,2855,2455,0
2025-01-01,2025,1,KBS,VOD,2017 KBS 가요대축제,T2017-1217,16211,13941,0
2025-01-01,2025,1,KBS,VOD,은밀하고 위대한 동물의 사생활,T2018-0519,6489,5581,0
2025-01-01,2025,1,KBS,VOD,2019 KBS 연기대상,T2019-0425,7738,6655,0
2025-01-01,2025,1,KBS,VOD,맘마미아,T2013-0155,29622,25475,0
2025-01-01,2025,1,KBS,VOD,내 생애 마지막 오디션,T2012-0112,3880,3337,0
2025-01-01,2025,1,KBS,VOD,엄마가 있는 풍경 마마도,T2013-0435,2908,2501,0
2025-01-01,2025,1,KBS,VOD,KBS 가요대축제,T2016-0759,11979,10302,0
2025-01-01,2025,1,KBS,VOD,2020 KBS 연예대상,T2020-1624,870,748,0
2025-01-01,2025,1,KBS,VOD,2016 KBS 연기대상,T2016-0735,11607,9982,0
2025-01-01,2025,1,KBS,VOD,2015 KBS 가요대축제,T2015-0719,6287,5407,0
2025-01-01,2025,1,KBS,VOD,트릭앤트루,T2016-0667,6635,5706,0
2025-01-01,2025,1,KBS,VOD,코미디의 전당,T2019-0462,213,183,0
2025-01-01,2025,1,KBS,VOD,하숙집 딸들,T2017-0032,9115,7839,0
2025-01-01,2025,1,KBS,VOD,가족의 품격 풀하우스,T2012-0600,5601,4817,0
2025-01-01,2025,1,KBS,VOD,입맞춤,T2019-0030,4173,3589,0
2025-01-01,2025,1,KBS,VOD,가정의달 특별기획 이미자 빅쇼,T2017-0321,2067,1778,0
2025-01-01,2025,1,KBS,VOD,2019 KBS 연예대상,T2019-0423,1488,1280,0
2025-01-01,2025,1,KBS,VOD,"내편,남편",T2015-0317,2404,2067,0
2025-01-01,2025,1,KBS,VOD,KBS 연기대상,T2012-0842,4221,3630,0
2025-01-01,2025,1,KBS,VOD,KBS 연예대상,T2012-0840,6482,5575,0
2025-01-01,2025,1,KBS,VOD,2015 연기대상,T2015-0718,6085,5233,0
2025-01-01,2025,1,KBS,VOD,비타민,T2003-0764,3749,3224,0
2025-01-01,2025,1,KBS,VOD,더 히트,T2018-0737,831,715,0
2025-01-01,2025,1,KBS,VOD,2021 대한민국 가수대행진,T2021-0009,24,21,0
2025-01-01,2025,1,KBS,VOD,탑밴드 3,T2015-0479,1750,1505,0
2025-01-01,2025,1,KBS,VOD,수상한 휴가,T2016-0173,5894,5069,0
2025-01-01,2025,1,KBS,VOD,신장개업 운동맛집,T2021-0224,946,814,0
2025-01-01,2025,1,KBS,VOD,사장님 귀는 당나귀 귀 설특집,T2019-0008,7860,6760,0
2025-01-01,2025,1,KBS,VOD,스탠드업,T2019-0369,1292,1111,0
2025-01-01,2025,1,KBS,VOD,북유럽,T2020-1587,1358,1168,0
2025-01-01,2025,1,KBS,VOD,2018 KBS 연기대상,T2018-0671,6404,5507,0
2025-01-01,2025,1,KBS,VOD,두근두근 인도,T2015-0155,1168,1004,0
2025-01-01,2025,1,KBS,VOD,2018 KBS 연예대상,T2018-0685,1006,865,0
2025-01-01,2025,1,KBS,VOD,쇼 비디오 자키,KM2014020037,2594,2231,0
2025-01-01,2025,1,KBS,VOD,2015 트로트 대축제,T2015-0715,1848,1589,0
2025-01-01,2025,1,KBS,VOD,네트워크 문화특선 올댓뮤직,T2014-0914,1499,1289,0
2025-01-01,2025,1,KBS,VOD,냄비받침,T2017-0363,3661,3148,0
2025-01-01,2025,1,KBS,VOD,2016 KBS 연예대상,T2016-0758,2358,2028,0
2025-01-01,2025,1,KBS,VOD,마녀와 야수,T2015-0041,1421,1222,0
2025-01-01,2025,1,KBS,VOD,6자회담,T2019-0010,216,186,0
2025-01-01,2025,1,KBS,VOD,뮤비뱅크,T2015-0081,2568,2208,0
